Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:09.150796,Triple Duplicate,1460,2190
2020-04-21 16:34:09.150797,,2190,2190
2020-04-21 16:34:09.150798,,3650,2190
2020-04-21 16:34:09.150798,Triple Duplicate,1460,1825
2020-04-21 16:34:09.150799,,1825,1825
2020-04-21 16:34:09.150800,,3285,1825
2020-04-21 16:34:09.150801,Triple Duplicate,1460,1642
2020-04-21 16:34:09.150801,,1642,1642
2020-04-21 16:34:09.150802,,3102,1642
2020-04-21 16:34:09.150802,Triple Duplicate,1460,1551
2020-04-21 16:34:09.150803,,1551,1551
2020-04-21 16:34:09.150804,,3011,1551
2020-04-21 16:34:09.150805,Triple Duplicate,1460,1505
2020-04-21 16:34:09.150805,,1505,1505
2020-04-21 16:34:09.150806,Triple Duplicate,1460,1460
2020-04-21 16:34:09.150806,,2920,1460
2020-04-21 16:34:09.150807,,4380,1460
2020-04-21 16:34:09.150808,,5840,1460
2020-04-21 16:34:09.152567,Retransmission,1460,2920
2020-04-21 16:34:09.152574,Retransmission,1460,1460
2020-04-21 16:34:09.152762,,2920,1460
2020-04-21 16:34:09.152764,,4380,1460
2020-04-21 16:34:09.152765,Triple Duplicate,1460,2190
2020-04-21 16:34:09.152766,,2190,2190
2020-04-21 16:34:09.152767,,3650,2190
2020-04-21 16:34:09.152768,Triple Duplicate,1460,1825
2020-04-21 16:34:09.152769,,1825,1825
2020-04-21 16:34:09.152769,,3285,1825
2020-04-21 16:34:09.152770,Triple Duplicate,1460,1642
2020-04-21 16:34:09.152771,,1642,1642
2020-04-21 16:34:09.152772,,3102,1642
2020-04-21 16:34:09.152773,Triple Duplicate,1460,1551
2020-04-21 16:34:09.152774,,1551,1551
2020-04-21 16:34:09.152841,,3011,1551
2020-04-21 16:34:09.152842,Triple Duplicate,1460,1505
2020-04-21 16:34:09.152843,,1505,1505
2020-04-21 16:34:09.152844,,2965,1505
2020-04-21 16:34:09.152845,Triple Duplicate,1460,1482
2020-04-21 16:34:09.152845,,1482,1482
2020-04-21 16:34:09.152846,,2942,1482
2020-04-21 16:34:09.152847,Triple Duplicate,1460,1471
2020-04-21 16:34:09.152848,,1471,1471
2020-04-21 16:34:09.152848,,2931,1471
2020-04-21 16:34:09.152849,Triple Duplicate,1460,1465
2020-04-21 16:34:09.152850,,1465,1465
2020-04-21 16:34:09.152851,,2925,1465
2020-04-21 16:34:09.152851,Triple Duplicate,1460,1462
2020-04-21 16:34:09.152852,,1462,1462
2020-04-21 16:34:09.152853,Triple Duplicate,1460,1460
2020-04-21 16:34:09.152853,,2920,1460
2020-04-21 16:34:09.152854,,4380,1460
2020-04-21 16:34:09.152855,,5840,1460
2020-04-21 16:34:09.152855,Triple Duplicate,1460,2920
2020-04-21 16:34:09.152856,,2920,2920
2020-04-21 16:34:09.152857,,4380,2920
2020-04-21 16:34:09.153861,Retransmission,1460,2190
2020-04-21 16:34:09.153989,,2190,2190
2020-04-21 16:34:09.153990,,3650,2190
2020-04-21 16:34:09.153991,Triple Duplicate,1460,1825
2020-04-21 16:34:09.153991,,1825,1825
2020-04-21 16:34:09.153992,,3285,1825
2020-04-21 16:34:09.156068,Retransmission,1460,1642
2020-04-21 16:34:09.156075,Retransmission,1460,1460
2020-04-21 16:34:09.156293,,2920,1460
2020-04-21 16:34:09.156294,,4380,1460
2020-04-21 16:34:09.156295,Triple Duplicate,1460,2190
2020-04-21 16:34:09.156296,,2190,2190
2020-04-21 16:34:09.156297,,3650,2190
2020-04-21 16:34:09.156298,Triple Duplicate,1460,1825
2020-04-21 16:34:09.156299,,1825,1825
2020-04-21 16:34:09.156300,,3285,1825
2020-04-21 16:34:09.156301,Triple Duplicate,1460,1642
2020-04-21 16:34:09.156302,,1642,1642
2020-04-21 16:34:09.156303,,3102,1642
2020-04-21 16:34:09.156303,Triple Duplicate,1460,1551
2020-04-21 16:34:09.156304,,1551,1551
2020-04-21 16:34:09.156305,,3011,1551
2020-04-21 16:34:09.156306,Triple Duplicate,1460,1505
2020-04-21 16:34:09.156306,,1505,1505
2020-04-21 16:34:09.156307,,2965,1505
2020-04-21 16:34:09.156308,Triple Duplicate,1460,1482
2020-04-21 16:34:09.156309,,1482,1482
2020-04-21 16:34:09.156310,,2942,1482
2020-04-21 16:34:09.156311,,4402,1482
2020-04-21 16:34:09.156311,Triple Duplicate,1460,2201
2020-04-21 16:34:09.156312,,2201,2201
2020-04-21 16:34:09.156487,Triple Duplicate,1460,1460
2020-04-21 16:34:09.156488,,2920,1460
2020-04-21 16:34:09.156489,,4380,1460
2020-04-21 16:34:09.156490,Triple Duplicate,1460,2190
2020-04-21 16:34:09.156491,,2190,2190
2020-04-21 16:34:09.156491,,3650,2190
2020-04-21 16:34:09.156492,Triple Duplicate,1460,1825
2020-04-21 16:34:09.156493,,1825,1825
2020-04-21 16:34:09.156493,,3285,1825
2020-04-21 16:34:09.156494,Triple Duplicate,1460,1642
2020-04-21 16:34:09.156495,,1642,1642
2020-04-21 16:34:09.156496,,3102,1642
2020-04-21 16:34:09.156496,Triple Duplicate,1460,1551
2020-04-21 16:34:09.156497,,1551,1551
2020-04-21 16:34:09.222211,Retransmission,1460,1460
2020-04-21 16:34:09.222323,,2920,1460
2020-04-21 16:34:09.223154,Retransmission,1460,1460
2020-04-21 16:34:09.223298,,2920,1460
2020-04-21 16:34:09.223299,,4380,1460
2020-04-21 16:34:09.223299,Triple Duplicate,1460,2190
2020-04-21 16:34:09.223300,,2190,2190
2020-04-21 16:34:09.223301,,3650,2190
2020-04-21 16:34:09.223302,Triple Duplicate,1460,1825
2020-04-21 16:34:09.223302,,1825,1825
2020-04-21 16:34:09.223303,,3285,1825
2020-04-21 16:34:09.223304,Triple Duplicate,1460,1642
2020-04-21 16:34:09.223304,,1642,1642
2020-04-21 16:34:09.224006,Retransmission,1460,1460
2020-04-21 16:34:09.224150,,2920,1460
2020-04-21 16:34:09.224151,,4380,1460
2020-04-21 16:34:09.224152,Triple Duplicate,1460,2190
2020-04-21 16:34:09.224153,,2190,2190
2020-04-21 16:34:09.265143,Retransmission,1460,1460
2020-04-21 16:34:09.265272,,2920,1460
2020-04-21 16:34:09.265272,,4380,1460
2020-04-21 16:34:09.265273,Triple Duplicate,1460,2190
2020-04-21 16:34:09.265274,,2190,2190
2020-04-21 16:34:09.265274,,3650,2190
